"","codocorren","data","hora","mes","diaSemana","tipo","viaA","viaB","tipoenvolv","tipoAutomo","genero","idade","embriagado","vitima","obito","habilitado","ciclo","pavimentac","viaACod","viaATotal","viaAFxRola","viaBCod","viaBtotal","viaBFxRola","bairro","zona","longX","latY","intersecao","intersecaoCodA","intersecaoCodB","intersecaolongx","intersecaolaty","intersecaoCiclo"
"7771","2019-214",2019-01-10,"17:40","Janeiro","quinta-feira","colisão","Av.Cel.Eugênio Muller","Av.Cel.Marcos Konder","veículo","Automóvel","masc.","71",0,1,0,1,"ciclofaixa","Asfalto",162,"25","21",274,"30","22","Centro","Área Urbana",-48.66369361,-26.90217893,"",NA,NA,NA,NA,""
"778","2019-92",2019-01-12,"14:10","Janeiro","sábado","colisão","R.Germano Montibeller","","veículo","Automóvel","masc.","27",0,0,0,1,"","Lajota",581,"10","7",NA,"","","Dom Bosco","Área Urbana",-48.68249534,-26.91647609,"",NA,NA,NA,NA,""
"7781","2019-92",2019-01-12,"14:10","Janeiro","sábado","colisão","R.Germano Montibeller","","veículo","Automóvel","","",0,0,0,1,"","Lajota",581,"10","7",NA,"","","Dom Bosco","Área Urbana",-48.68249534,-26.91647609,"",NA,NA,NA,NA,""
"779","2019-95",2019-01-13,"17:49","Janeiro","domingo","colisão","R.Dep.Francisco Evaristo Canziani","","veículo","Automóvel","masc.","33",0,0,0,1,"compartilhado","Asfalto",750,"11","7",NA,"","","Cabeçudas","Área Urbana",-48.64552822,-26.91818964,"",NA,NA,NA,NA,""
"7791","2019-95",2019-01-13,"17:49","Janeiro","domingo","colisão","R.Dep.Francisco Evaristo Canziani","","veículo","Motocicleta","","",0,0,0,1,"compartilhado","Asfalto",750,"11","7",NA,"","","Cabeçudas","Área Urbana",-48.64552822,-26.91818964,"",NA,NA,NA,NA,""
"780","2019-126",2019-01-18,"17:30","Janeiro","sexta-feira","colisão","R.José Quirino","","veículo","Automóvel","fem.","44",0,0,0,1,"","Asfalto",209,"10","7",NA,"","","São João","Área Urbana",-48.67322835,-26.89822568,"",NA,NA,NA,NA,""
"7801","2019-126",2019-01-18,"17:30","Janeiro","sexta-feira","colisão","R.José Quirino","","veículo","Camioneta","","",0,0,0,1,"","Asfalto",209,"10","7",NA,"","","São João","Área Urbana",-48.67322835,-26.89822568,"",NA,NA,NA,NA,""
"7811","2019-128",2019-01-19,"10:30","Janeiro","sábado","colisão","R.Anita Garibaldi","","veículo","Automóvel","masc.","55",0,0,0,1,"","Asfalto",340,"10","7",NA,"","","Centro","Área Urbana",-48.6671776,-26.90981399,"",NA,NA,NA,NA,""
"7812","2019-128",2019-01-19,"10:30","Janeiro","sábado","colisão","R.Anita Garibaldi","","veículo","Automóvel","fem.","38",0,0,0,1,"","Asfalto",340,"10","7",NA,"","","Centro","Área Urbana",-48.6671776,-26.90981399,"",NA,NA,NA,NA,""
"782","2019-587",2019-01-21,"14:31","Janeiro","segunda-feira","colisão","R.Ver.Nestor dos Santos","","veículo","Motoneta","fem.","44",0,1,0,1,"","Paralelepípedo",1170,"12","8",NA,"","","Cordeiros","Área Urbana",-48.70466866,-26.89119824,"",NA,NA,NA,NA,""
"7821","2019-587",2019-01-21,"14:31","Janeiro","segunda-feira","colisão","R.Ver.Nestor dos Santos","","veículo","Automóvel","","",0,1,0,1,"","Paralelepípedo",1170,"12","8",NA,"","","Cordeiros","Área Urbana",-48.70466866,-26.89119824,"",NA,NA,NA,NA,""
"783","2019-242/245",2019-01-24,"18:10","Janeiro","quinta-feira","colisão","R.César Augusto Dalsóquio","R.Victor Gonçalves","veículo","Automóvel","masc.","28",0,1,0,1,"","Asfalto",1269,"11","7",1279,"8","5","Salseiros","Área Urbana",-48.72824213,-26.8733277,"",NA,NA,NA,NA,""
"7831","2019-242/245",2019-01-24,"18:10","Janeiro","quinta-feira","colisão","R.César Augusto Dalsóquio","R.Victor Gonçalves","veículo","Motoneta","masc.","31",0,1,0,1,"","Asfalto",1269,"11","7",1279,"8","5","Salseiros","Área Urbana",-48.72824213,-26.8733277,"",NA,NA,NA,NA,""
"784","2019-250",2019-02-01,"14:27","Fevereiro","sexta-feira","colisão","Av.Gov.Adolfo Konder","R.Heitor Liberato","veículo","Automóvel","masc.","19",0,0,0,1,"ciclofaixa","Asfalto",164,"30","17",160,"15,5","9,5","Cidade Nova","Área Urbana",-48.68446922,-26.91050568,"",NA,NA,NA,NA,""
"7841","2019-250",2019-02-01,"14:27","Fevereiro","sexta-feira","colisão","Av.Gov.Adolfo Konder","R.Heitor Liberato","veículo","Caminhão","masc.","24",0,0,0,1,"ciclofaixa","Asfalto",164,"30","17",160,"15,5","9,5","Cidade Nova","Área Urbana",-48.68446922,-26.91050568,"",NA,NA,NA,NA,""
"785","2019-314",2019-02-01,"19:00","Fevereiro","sexta-feira","colisão","Av.Min.Victor Konder","","veículo","Automóvel","masc.","35",0,0,0,1,"compartilhado","Asfalto",280,"20","12",NA,"","","Centro","Área Urbana",-48.65407549,-26.90915155,"",NA,NA,NA,NA,""
"7851","2019-314",2019-02-01,"19:00","Fevereiro","sexta-feira","colisão","Av.Min.Victor Konder","","veículo","Automóvel","","",0,0,0,1,"compartilhado","Asfalto",280,"20","12",NA,"","","Centro","Área Urbana",-48.65407549,-26.90915155,"",NA,NA,NA,NA,""
"786","2019-264",2019-02-03,"05:49","Fevereiro","domingo","colisão","R.José Maria da Veiga","R.Navegantes","veículo","Automóvel","masc.","24",0,0,0,1,"","Lajota",180,"10","7",83,"11","7","São João","Área Urbana",-48.67843084,-26.89706435,"",NA,NA,NA,NA,""
"7861","2019-264",2019-02-03,"05:49","Fevereiro","domingo","colisão","R.José Maria da Veiga","R.Navegantes","veículo","Automóvel","fem.","28",0,0,0,1,"","Lajota",180,"10","7",83,"11","7","São João","Área Urbana",-48.67843084,-26.89706435,"",NA,NA,NA,NA,""
"7862","2019-264",2019-02-03,"05:49","Fevereiro","domingo","colisão","R.José Maria da Veiga","R.Navegantes","veículo","Automóvel","fem.","40",0,0,0,1,"","Lajota",180,"10","7",83,"11","7","São João","Área Urbana",-48.67843084,-26.89706435,"",NA,NA,NA,NA,""
"787","2019-304",2019-02-07,"12:50","Fevereiro","quinta-feira","colisão","R.Pedro Rangel","","veículo","Automóvel","masc.","33",0,0,0,1,"ciclovia","Asfalto",185,"12","9",NA,"","","São João","Área Urbana",-48.68419311,-26.90080711,"",NA,NA,NA,NA,""
"7871","2019-304",2019-02-07,"12:50","Fevereiro","quinta-feira","colisão","R.Pedro Rangel","","veículo","Automóvel","fem.","27",0,0,0,1,"ciclovia","Asfalto",185,"12","9",NA,"","","São João","Área Urbana",-48.68419311,-26.90080711,"",NA,NA,NA,NA,""
"788","2019-301",2019-02-07,"09:20","Fevereiro","quinta-feira","colisão","R.Pedro Rangel","","veículo","Caminhonete","fem.","30",0,0,0,1,"ciclovia","Asfalto",185,"12","9",NA,"","","São João","Área Urbana",-48.68415986,-26.90080249,"",NA,NA,NA,NA,""
"7881","2019-301",2019-02-07,"09:20","Fevereiro","quinta-feira","colisão","R.Pedro Rangel","","veículo","Caminhonete","masc.","43",0,0,0,1,"ciclovia","Asfalto",185,"12","9",NA,"","","São João","Área Urbana",-48.68415986,-26.90080249,"",NA,NA,NA,NA,""
"789","2019-330",2019-02-11,"08:30","Fevereiro","segunda-feira","colisão","R.Juca Cesário","R.José Joaquim dos Santos","veículo","Caminhão","masc.","37",0,0,0,1,"","Lajota",183,"11","7",393,"10","6","São João","Área Urbana",-48.68037096,-26.89801369,"",NA,NA,NA,NA,""
"7891","2019-330",2019-02-11,"08:30","Fevereiro","segunda-feira","colisão","R.Juca Cesário","R.José Joaquim dos Santos","veículo","Automóvel","masc.","22",0,0,0,1,"","Lajota",183,"11","7",393,"10","6","São João","Área Urbana",-48.68037096,-26.89801369,"",NA,NA,NA,NA,""
"790","2019-344",2019-02-12,"13:30","Fevereiro","terça-feira","colisão","R.Alm.Barroso","","veículo","Caminhonete","masc.","27",0,0,0,1,"ciclofaixa","Asfalto",284,"10","7",NA,"","","Centro","Área Urbana",-48.6673657,-26.90884397,"",NA,NA,NA,NA,""
"7901","2019-344",2019-02-12,"13:30","Fevereiro","terça-feira","colisão","R.Alm.Barroso","","veículo","Motoneta","","",0,0,0,1,"ciclofaixa","Asfalto",284,"10","7",NA,"","","Centro","Área Urbana",-48.6673657,-26.90884397,"",NA,NA,NA,NA,""
"7911","2019-363",2019-02-13,"13:15","Fevereiro","quarta-feira","queda","R.Ernesto Kobarg","","veículo","Motoneta","fem.","33",0,1,0,1,"","Lajota",197,"10","7",NA,"","","São João","Área Urbana",-48.68059954,-26.89879058,"",NA,NA,NA,NA,""
"792","2019-381",2019-02-16,"13:30","Fevereiro","sábado","colisão","R.Juca Cesário","","veículo","Automóvel","masc.","19",0,0,0,1,"","Lajota",183,"11","7",NA,"","","São João","Área Urbana",-48.67832821,-26.89810927,"",NA,NA,NA,NA,""
"7921","2019-381",2019-02-16,"13:30","Fevereiro","sábado","colisão","R.Juca Cesário","","veículo","Automóvel","fem.","52",0,0,0,1,"","Lajota",183,"11","7",NA,"","","São João","Área Urbana",-48.67832821,-26.89810927,"",NA,NA,NA,NA,""
"793","2019-425",2019-02-17,"22:30","Fevereiro","domingo","outros","R.Marcos Albino","","veículo","Automóvel","fem.","24",0,0,0,1,"","Misto (Asfalto/Sem Pavimento)",1496,"11","7",NA,"","","Itaipava","Zona Rural/Urbana (limite perímetro urbano)",-48.73678037,-26.97762749,"",NA,NA,NA,NA,""
"794","2019-391",2019-02-18,"08:40","Fevereiro","segunda-feira","colisão","R.João Napoleão de Souza","R.Henrique Dauer","veículo","Automóvel","masc.","32",0,0,0,1,"","Asfalto",464,"11","7",483,"14,4","10,6","Barra do Rio","Área Urbana",-48.67825913,-26.88582204,"",NA,NA,NA,NA,""
"7941","2019-391",2019-02-18,"08:40","Fevereiro","segunda-feira","colisão","R.João Napoleão de Souza","R.Henrique Dauer","veículo","","","",0,0,0,1,"","Asfalto",464,"11","7",483,"14,4","10,6","Barra do Rio","Área Urbana",-48.67825913,-26.88582204,"",NA,NA,NA,NA,""
"795","2019-417",2019-02-18,"18:15","Fevereiro","segunda-feira","colisão","R.Abdon David Schimidt","","veículo","Automóvel","masc.","41",0,0,0,1,"","Asfalto",522,"12","8",NA,"","","São Judas","Área Urbana",-48.68119517,-26.91163824,"",NA,NA,NA,NA,""
"7951","2019-417",2019-02-18,"18:15","Fevereiro","segunda-feira","colisão","R.Abdon David Schimidt","","veículo","Automóvel","","",0,0,0,1,"","Asfalto",522,"12","8",NA,"","","São Judas","Área Urbana",-48.68119517,-26.91163824,"",NA,NA,NA,NA,""
"796","2019-416",2019-02-19,"13:00","Fevereiro","terça-feira","colisão","R.João Maestri","","veículo","Ônibus","masc.","45",0,0,0,1,"","Sem Pavimento",1388,"10","7",NA,"","","Espinheiros","Zona Rural/Urbana (limite perímetro urbano)",-48.74507406,-26.89825517,"",NA,NA,NA,NA,""
"7961","2019-416",2019-02-19,"13:00","Fevereiro","terça-feira","colisão","R.João Maestri","","veículo","Automóvel","fem.","23",0,0,0,1,"","Sem Pavimento",1388,"10","7",NA,"","","Espinheiros","Zona Rural/Urbana (limite perímetro urbano)",-48.74507406,-26.89825517,"",NA,NA,NA,NA,""
