codocorren,data,hora,mes,diaSemana,tipo,viaA,viaB,tipoenvolv,tipoAutomo,genero,idade,embriagado,vitima,obito,habilitado,ciclo,pavimentac,viaACod,viaATotal,viaAFxRola,viaBCod,viaBtotal,viaBFxRola,bairro,zona,longX,latY,intersecao,intersecaoCodA,intersecaoCodB,intersecaolongx,intersecaolaty,intersecaoCiclo
2019-65,2019-01-10,11:20,Janeiro,quinta-feira,colisão,Av.Paulo Cantídio da Silva,Rod.Jorge Lacerda,"veículo,veículo","Automóvel,Automóvel",masc.,24,0,0,0,1,,Asfalto,1319,32,26,1343,43,43,Santa Regina,Zona Rural/Urbana (limite perímetro urbano),-48.74928368,-26.88626549,Rod.Jorge Lacerda-Av.Paulo Cantídio da Silva,1343,1319,-48.74928606844227,-26.88643916885907,
2019-731,2019-03-26,08:20,Março,terça-feira,colisão,R.Fermino Vieira Cordeiro,Rod.Jorge Lacerda,"veículo,veículo","Automóvel,Motoneta",masc.,36,0,0,0,1,,Misto (Asfalto/Paralelepípedo),1360,11,7,1343,43,43,Espinheiros,Zona Rural/Urbana (limite perímetro urbano),-48.73791178,-26.88690636,Rod.Jorge Lacerda-R.Fermino Vieira Cordeiro,1343,1360,-48.737902497002565,-26.88671150406599,
2019-620,2019-03-15,14:00,Março,sexta-feira,colisão,R.Blumenau,R.Henrique Vigarani,"veículo,veículo","Motocicleta,Motocicleta","masc.,masc.","53,55",0,1,0,1,ciclofaixa,Asfalto,157,14,10,445,10,7,São João,Área Urbana,-48.67884407,-26.88836473,R.Henrique Vigarani-R.Blumenau,445,157,-48.67833269281032,-26.888396302482228,
2019-945,2019-04-22,14:00,Abril,segunda-feira,colisão,R.Henrique Vigarani,,"veículo,veículo","Automóvel,Motoneta","masc.,masc.","27,33",0,1,0,1,,Lajota,445,10,7,NA,,,Barra do Rio,Área Urbana,-48.67823615,-26.88793389,R.Henrique Vigarani-R.Blumenau,445,157,-48.67833269281032,-26.888396302482228,
2019-48,2019-01-08,12:30,Janeiro,terça-feira,abalroamento,R.Indaial,,"veículo,veículo","Caminhonete,Automóvel","masc.,masc.","53,24",0,0,0,1,,Asfalto,227,17,11,NA,,,Dom Bosco,Área Urbana,-48.67734159,-26.92018127,R.Indaial-R.Indaial,227,227,-48.67735097568145,-26.919918853502633,
2019-505,2019-03-01,14:09,Março,sexta-feira,colisão,R.Indaial,,"veículo,veículo","Automóvel,Utilitário","masc.,masc.","22,48",0,0,0,1,,Asfalto,227,17,11,NA,,,Dom Bosco,Área Urbana,-48.67728685,-26.91969128,R.Indaial-R.Indaial,227,227,-48.67735097568145,-26.919918853502633,
2019-827,2019-04-05,19:30,Abril,sexta-feira,colisão,R.Blumenau,,"veículo,veículo","Automóvel,Automóvel",masc.,33,0,0,0,1,ciclofaixa,Asfalto,157,14,10,NA,,,São João,Área Urbana,-48.67951797,-26.88784745,R.Luiz José Bento da Silva-R.Blumenau,444,157,-48.67930879416768,-26.887776482761527,
2019-876,2019-04-08,17:00,Abril,segunda-feira,queda,R.João Thomaz Pinto,,veículo,Motocicleta,masc.,55,0,0,0,1,,Asfalto,1479,25,7,NA,,,Rio do Meio,Zona Rural/Urbana (limite perímetro urbano),-48.68545226,-26.9681378,R.Antonia Apollinário-R.João Thomaz Pinto,1573,1479,-48.68514762961443,-26.96801799203659,
2019-42,2019-01-02,11:00,Janeiro,quarta-feira,outros,R.João Thomaz Pinto,,veículo,Automóvel,masc.,32,0,0,0,1,,Asfalto,1479,25,7,NA,,,Rio do Meio,Zona Rural/Urbana (limite perímetro urbano),-48.68924853,-26.96979368,,,,,,
2019-10,2019-01-02,17:40,Janeiro,quarta-feira,colisão,R.Otílio Dalsóquio,,"veículo,veículo","Caminhonete,Automóvel","masc.,masc.","33,49",0,0,0,1,,Asfalto,1281,11,7,NA,,,Salseiros,Área Urbana,-48.72291378,-26.87874554,,,,,,
2019-18,2019-01-02,16:11,Janeiro,quarta-feira,choque,R.Luci Canziani,,veículo,Utilitário,fem.,36,0,0,0,1,ciclofaixa,Asfalto,822,26,13,NA,,,Praia Brava de Itajaí,Área Urbana,-48.63242097,-26.9448331,,,,,,
2019-30,2019-01-04,14:10,Janeiro,sexta-feira,colisão,R.Rio do Sul,,"veículo,veículo","Automóvel,Automóvel",masc.,33,0,0,0,1,,Lajota,507,10,7,NA,,,São Judas,Área Urbana,-48.67513663,-26.91130511,,,,,,
2019-24,2019-01-04,08:00,Janeiro,sexta-feira,colisão,R.Pedro Jerônimo Sedrez,,"veículo,veículo","Automóvel,Caminhão",masc.,37,0,0,0,1,,Asfalto,928,11,7,NA,,,Cidade Nova,Área Urbana,-48.70590438,-26.91950285,,,,,,
2019-214,2019-01-10,17:40,Janeiro,quinta-feira,colisão,Av.Cel.Eugênio Muller,Av.Cel.Marcos Konder,"veículo,veículo","Motocicleta,Automóvel","masc.,masc.","24,71",0,1,0,1,ciclofaixa,Asfalto,162,25,21,274,30,22,Centro,Área Urbana,-48.66369361,-26.90217893,,,,,,
2019-92,2019-01-12,14:10,Janeiro,sábado,colisão,R.Germano Montibeller,,"veículo,veículo","Automóvel,Automóvel",masc.,27,0,0,0,1,,Lajota,581,10,7,NA,,,Dom Bosco,Área Urbana,-48.68249534,-26.91647609,,,,,,
2019-95,2019-01-13,17:49,Janeiro,domingo,colisão,R.Dep.Francisco Evaristo Canziani,,"veículo,veículo","Automóvel,Motocicleta",masc.,33,0,0,0,1,compartilhado,Asfalto,750,11,7,NA,,,Cabeçudas,Área Urbana,-48.64552822,-26.91818964,,,,,,
2019-126,2019-01-18,17:30,Janeiro,sexta-feira,colisão,R.José Quirino,,"veículo,veículo","Automóvel,Camioneta",fem.,44,0,0,0,1,,Asfalto,209,10,7,NA,,,São João,Área Urbana,-48.67322835,-26.89822568,,,,,,
2019-128,2019-01-19,10:30,Janeiro,sábado,colisão,R.Anita Garibaldi,,"veículo,veículo","Automóvel,Automóvel","masc.,fem.","55,38",0,0,0,1,,Asfalto,340,10,7,NA,,,Centro,Área Urbana,-48.6671776,-26.90981399,,,,,,
2019-587,2019-01-21,14:31,Janeiro,segunda-feira,colisão,R.Ver.Nestor dos Santos,,"veículo,veículo","Motoneta,Automóvel",fem.,44,0,1,0,1,,Paralelepípedo,1170,12,8,NA,,,Cordeiros,Área Urbana,-48.70466866,-26.89119824,,,,,,
2019-242/245,2019-01-24,18:10,Janeiro,quinta-feira,colisão,R.César Augusto Dalsóquio,R.Victor Gonçalves,"veículo,veículo","Automóvel,Motoneta","masc.,masc.","28,31",0,1,0,1,,Asfalto,1269,11,7,1279,8,5,Salseiros,Área Urbana,-48.72824213,-26.8733277,,,,,,
2019-250,2019-02-01,14:27,Fevereiro,sexta-feira,colisão,Av.Gov.Adolfo Konder,R.Heitor Liberato,"veículo,veículo","Automóvel,Caminhão","masc.,masc.","19,24",0,0,0,1,ciclofaixa,Asfalto,164,30,17,160,"15,5","9,5",Cidade Nova,Área Urbana,-48.68446922,-26.91050568,,,,,,
2019-314,2019-02-01,19:00,Fevereiro,sexta-feira,colisão,Av.Min.Victor Konder,,"veículo,veículo","Automóvel,Automóvel",masc.,35,0,0,0,1,compartilhado,Asfalto,280,20,12,NA,,,Centro,Área Urbana,-48.65407549,-26.90915155,,,,,,
2019-264,2019-02-03,05:49,Fevereiro,domingo,colisão,R.José Maria da Veiga,R.Navegantes,"veículo,veículo,veículo","Automóvel,Automóvel,Automóvel","masc.,fem.,fem.","24,28,40",0,0,0,1,,Lajota,180,10,7,83,11,7,São João,Área Urbana,-48.67843084,-26.89706435,,,,,,
2019-304,2019-02-07,12:50,Fevereiro,quinta-feira,colisão,R.Pedro Rangel,,"veículo,veículo","Automóvel,Automóvel","masc.,fem.","33,27",0,0,0,1,ciclovia,Asfalto,185,12,9,NA,,,São João,Área Urbana,-48.68419311,-26.90080711,,,,,,
2019-301,2019-02-07,09:20,Fevereiro,quinta-feira,colisão,R.Pedro Rangel,,"veículo,veículo","Caminhonete,Caminhonete","fem.,masc.","30,43",0,0,0,1,ciclovia,Asfalto,185,12,9,NA,,,São João,Área Urbana,-48.68415986,-26.90080249,,,,,,
2019-330,2019-02-11,08:30,Fevereiro,segunda-feira,colisão,R.Juca Cesário,R.José Joaquim dos Santos,"veículo,veículo","Caminhão,Automóvel","masc.,masc.","37,22",0,0,0,1,,Lajota,183,11,7,393,10,6,São João,Área Urbana,-48.68037096,-26.89801369,,,,,,
2019-344,2019-02-12,13:30,Fevereiro,terça-feira,colisão,R.Alm.Barroso,,"veículo,veículo","Caminhonete,Motoneta",masc.,27,0,0,0,1,ciclofaixa,Asfalto,284,10,7,NA,,,Centro,Área Urbana,-48.6673657,-26.90884397,,,,,,
2019-363,2019-02-13,13:15,Fevereiro,quarta-feira,queda,R.Ernesto Kobarg,,veículo,Motoneta,fem.,33,0,1,0,1,,Lajota,197,10,7,NA,,,São João,Área Urbana,-48.68059954,-26.89879058,,,,,,
2019-381,2019-02-16,13:30,Fevereiro,sábado,colisão,R.Juca Cesário,,"veículo,veículo","Automóvel,Automóvel","masc.,fem.","19,52",0,0,0,1,,Lajota,183,11,7,NA,,,São João,Área Urbana,-48.67832821,-26.89810927,,,,,,
2019-425,2019-02-17,22:30,Fevereiro,domingo,outros,R.Marcos Albino,,veículo,Automóvel,fem.,24,0,0,0,1,,Misto (Asfalto/Sem Pavimento),1496,11,7,NA,,,Itaipava,Zona Rural/Urbana (limite perímetro urbano),-48.73678037,-26.97762749,,,,,,
2019-391,2019-02-18,08:40,Fevereiro,segunda-feira,colisão,R.João Napoleão de Souza,R.Henrique Dauer,"veículo,veículo",Automóvel,masc.,32,0,0,0,1,,Asfalto,464,11,7,483,"14,4","10,6",Barra do Rio,Área Urbana,-48.67825913,-26.88582204,,,,,,
2019-417,2019-02-18,18:15,Fevereiro,segunda-feira,colisão,R.Abdon David Schimidt,,"veículo,veículo","Automóvel,Automóvel",masc.,41,0,0,0,1,,Asfalto,522,12,8,NA,,,São Judas,Área Urbana,-48.68119517,-26.91163824,,,,,,
2019-416,2019-02-19,13:00,Fevereiro,terça-feira,colisão,R.João Maestri,,"veículo,veículo","Ônibus,Automóvel","masc.,fem.","45,23",0,0,0,1,,Sem Pavimento,1388,10,7,NA,,,Espinheiros,Zona Rural/Urbana (limite perímetro urbano),-48.74507406,-26.89825517,,,,,,
2019-408,2019-02-20,06:10,Fevereiro,quarta-feira,colisão,Rod.Jorge Lacerda,,"veículo,veículo","Caminhão,Caminhão","masc.,fem.","23,25",0,0,0,1,,Asfalto,1343,43,43,NA,,,Salseiros,Área Urbana,-48.74083552,-26.88596702,,,,,,
2019-469,2019-02-26,14:30,Fevereiro,terça-feira,"abalroamento,colisão",Rod.Jorge Lacerda,,"veículo,veículo,veículo","Caminhão_Trator,Semireboque,Caminhão","masc.,masc.,masc.","58,58,40",0,0,0,1,,Asfalto,1343,43,43,NA,,,Salseiros,Área Urbana,-48.72388438,-26.88967614,,,,,,
2019-488,2019-02-27,16:05,Fevereiro,quarta-feira,engavetamento,R.Rosa Orsi Dalcóquio,,"veículo,veículo,veículo,veículo","Automóvel,Automóvel,Automóvel,Automóvel","masc.,masc.,masc.","31,22,24",0,0,0,1,,Asfalto,1182,15,7,NA,,,Cordeiros,Área Urbana,-48.71362869,-26.894296,,,,,,
2019-480,2019-02-27,12:00,Fevereiro,quarta-feira,colisão,R.José Gall,,"veículo,veículo","Automóvel,Motocicleta","fem.,masc.","42,38",0,0,0,1,,Asfalto,545,"15,6","9,6",NA,,,Dom Bosco,Área Urbana,-48.68601413,-26.92940351,,,,,,
2019-493,2019-02-28,09:40,Fevereiro,quinta-feira,colisão,R.Brusque,,"veículo,veículo","Caminhão,Automóvel","masc.,masc.","25,64",0,0,0,1,,Asfalto,268,"13,2","9,6",NA,,,Vila Operária,Área Urbana,-48.66749639,-26.91343886,,,,,,
2019-496,2019-02-28,15:30,Fevereiro,quinta-feira,abalroamento,R.Eliziário Pereira,,"veículo,veículo","Caminhão,Camioneta","masc.,fem.","50,51",0,0,0,1,,Misto (Asfalto/Lajota),428,10,6,NA,,,Barra do Rio,Área Urbana,-48.67880077,-26.89095779,,,,,,
2019-511,2019-03-01,14:30,Março,sexta-feira,colisão,R.Domingos Rampelotti,,"veículo,veículo","Automóvel,Caminhão Trator","masc.,masc.","30,23",0,0,0,1,,Asfalto,1402,11,7,NA,,,São Roque,Zona Rural/Urbana (limite perímetro urbano),-48.73583497,-26.9093843,,,,,,
2019-512,2019-03-01,15:00,Março,sexta-feira,colisão,Rod.BR-101,,"veículo,veículo","Caminhonete,Caminhão",masc.,39,0,0,0,1,,Asfalto,1288,40,0,NA,,,Rio Novo - Colônia Japonesa,Zona Rural/Urbana (limite perímetro urbano),-48.68853008,-26.94519693,,,,,,
2019-523,2019-03-04,23:47,Março,segunda-feira,colisão,R.Benjamim Dagnoni,,"veículo,veículo,veículo","Caminhão_Trator,Semireboque,Caminhonete","masc.,masc.","47,47",0,0,0,1,,Misto (Asfalto/Sem Pavimento),1478,22,18,NA,,,Rio do Meio,Zona Rural/Urbana (limite perímetro urbano),-48.71038266,-26.95072095,,,,,,
2019-589,2019-03-06,13:15,Março,quarta-feira,colisão,Av.Leodegario Pedro da Silva,,"veículo,veículo","Motoneta,Automóvel","fem.,fem.","31,37",0,1,0,1,,Misto (Paralelepípedo/Lajota),446,11,7,NA,,,Barra do Rio,Área Urbana,-48.67477522,-26.89089673,,,,,,
2019-557,2019-03-08,12:50,Março,sexta-feira,choque - poste,R.Rodolfo Treder,,veículo,Automóvel,fem.,39,0,0,0,1,,Lajota,187,11,7,NA,,,São João,Área Urbana,-48.68124891,-26.8999535,,,,,,
